run_id,platform,app,input,node_ids,start_time,end_time,unwanted,duration
59e501ac57f3f44ead63f94f,volta,ft,X,"['59e501ab57f3f44ead63f94b', '59e501ab57f3f44ead63f94c', '59e501ac57f3f44ead63f94d', '59e501ac57f3f44ead63f94e']",1506796477,1506797393,0.0,916
59e501ac57f3f44ead63f954,volta,ft,X,"['59e501ac57f3f44ead63f950', '59e501ac57f3f44ead63f951', '59e501ac57f3f44ead63f952', '59e501ac57f3f44ead63f953']",1506796476,1506797407,0.0,931
59e501ad57f3f44ead63f959,volta,ft,X,"['59e501ad57f3f44ead63f955', '59e501ad57f3f44ead63f956', '59e501ad57f3f44ead63f957', '59e501ad57f3f44ead63f958']",1506903294,1506904213,0.0,919
59e501ae57f3f44ead63f95e,volta,ft,X,"['59e501ad57f3f44ead63f95a', '59e501ad57f3f44ead63f95b', '59e501ad57f3f44ead63f95c', '59e501ae57f3f44ead63f95d']",1507236006,1507236913,0.0,907
59e501ae57f3f44ead63f963,volta,ft,X,"['59e501ae57f3f44ead63f95f', '59e501ae57f3f44ead63f960', '59e501ae57f3f44ead63f961', '59e501ae57f3f44ead63f962']",1506796475,1506797376,0.0,901
59e501af57f3f44ead63f968,volta,ft,X,"['59e501af57f3f44ead63f964', '59e501af57f3f44ead63f965', '59e501af57f3f44ead63f966', '59e501af57f3f44ead63f967']",1507373509,1507374405,0.0,896
59e501af57f3f44ead63f96d,volta,ft,X,"['59e501af57f3f44ead63f969', '59e501af57f3f44ead63f96a', '59e501af57f3f44ead63f96b', '59e501af57f3f44ead63f96c']",1507844467,1507845376,0.0,909
59e501b057f3f44ead63f972,volta,ft,X,"['59e501b057f3f44ead63f96e', '59e501b057f3f44ead63f96f', '59e501b057f3f44ead63f970', '59e501b057f3f44ead63f971']",1507373302,1507374193,0.0,891
59e501b157f3f44ead63f977,volta,ft,X,"['59e501b057f3f44ead63f973', '59e501b057f3f44ead63f974', '59e501b157f3f44ead63f975', '59e501b157f3f44ead63f976']",1507372632,1507373541,0.0,909
59e501b157f3f44ead63f97c,volta,ft,X,"['59e501b157f3f44ead63f978', '59e501b157f3f44ead63f979', '59e501b157f3f44ead63f97a', '59e501b157f3f44ead63f97b']",1507372632,1507373539,0.0,907
59e5022257f3f44ead63fc6f,volta,mg,X,"['59e5022257f3f44ead63fc6b', '59e5022257f3f44ead63fc6c', '59e5022257f3f44ead63fc6d', '59e5022257f3f44ead63fc6e']",1507362666,1507363601,0.0,935
59e5022257f3f44ead63fc74,volta,mg,X,"['59e5022257f3f44ead63fc70', '59e5022257f3f44ead63fc71', '59e5022257f3f44ead63fc72', '59e5022257f3f44ead63fc73']",1507843309,1507844259,0.0,950
59e5022357f3f44ead63fc79,volta,mg,X,"['59e5022357f3f44ead63fc75', '59e5022357f3f44ead63fc76', '59e5022357f3f44ead63fc77', '59e5022357f3f44ead63fc78']",1506891462,1506892403,0.0,941
